kernel,C,coef0,degree,gamma,tol,mean_test_score
linear,121.20383763013014,,,,0.16167577254125745,0.94654
linear,112.33867905463534,,,,0.15612976186141245,0.94651
linear,21.786792469836815,,,,1.8856838249727674,0.94651
linear,95.74106115744517,,,,0.0062723995454944965,0.94648
linear,174.76053105255073,,,,1.1906658978297506,0.94645
linear,169.04580955856136,,,,0.5197137838406017,0.94642
linear,101.24652970764589,,,,0.0001,0.94642
linear,89.87947866946234,,,,1.5952310328534347,0.94636
linear,163.22104666709424,,,,1.6642637945295162,0.94631
linear,198.82179185564394,,,,0.4512391535955539,0.94622
linear,53.50175328466064,,,,1.7978093164037983,0.94616
linear,204.75816583806173,,,,0.42608926436857736,0.94607
linear,143.1218057397432,,,,0.09618822135140895,0.94602
linear,29.784386631328754,,,,2.0,0.94584
poly,484.3970803345221,-3.022567475824835,5.0,0.0,2.0,0.94564
linear,193.01312250550242,,,,0.01830445271752071,0.9455
poly,43.592479281252025,-2.7414658076784484,1.035666897178574,5.579202690145079,0.4643368000097499,0.94541
linear,221.14775880439728,,,,0.048660298851867546,0.94538
linear,227.45865619396562,,,,1.6238569687270268,0.94538
linear,236.00899938437902,,,,1.5985783327072847,0.94535
linear,68.564800537828,,,,1.7471573804535712,0.94533
linear,252.6091427713231,,,,1.5930786866293496,0.9453
linear,258.2195164373041,,,,1.0727777014253415,0.94521
linear,247.07438898824932,,,,0.3705635206022573,0.94518
linear,297.7457227434576,,,,0.30187020664972647,0.94501
linear,34.19949927599283,,,,2.0,0.94484
linear,8.477013861475886,,,,1.973151080166825,0.94484
rbf,747.6843760219405,,,2.9548831876062764,1.3992199864025228,0.94475
linear,62.9950292329672,,,,1.8861752011976265,0.94475
linear,152.02541045697416,,,,1.8529024118507453,0.94466
linear,267.19751931936264,,,,0.045023760996373736,0.9446
linear,110.31421473927534,,,,1.924623943883697,0.94449
linear,123.53534904293667,,,,1.855262374952257,0.94449
linear,15.376851210838502,,,,1.9991692572629622,0.94437
linear,25.794030723678844,,,,1.9844951242138735,0.94429
linear,347.31427561829787,,,,0.3262944078034727,0.94426
sigmoid,656.306202626915,-5.221771282901514,,,1.6348956942876551,0.94417
linear,334.7532898189005,,,,0.387507665995218,0.944
poly,12.351413466415275,2.0476083944014576,1.1696712273822234,13.834768703522412,1.866451757850874,0.94397
linear,41.60382767524546,,,,1.97925686378158,0.94391
linear,180.5601539051681,,,,1.7124580534290161,0.94388
poly,283.6591082403686,16.3913106641146,1.449351165569707,1.1702817280469957,1.4333087288856101,0.94342
linear,390.25619308928054,,,,0.19031700604804347,0.94337
linear,211.18975374037856,,,,1.8443810948249602,0.94334
linear,47.35379092614711,,,,2.0,0.94319
linear,241.45137644594476,,,,1.8517271063646359,0.94311
linear,131.42594204453474,,,,1.8535187281872152,0.94311
linear,310.8304889265555,,,,1.637992542715628,0.94305
linear,377.0311515070462,,,,1.8095183036127627,0.94293
poly,119.83181054960946,2.228301202167998,2.6267243926232418,1.2156887586312632,0.9452490255871665,0.94273
linear,910.1724896451833,,,,0.913830354298162,0.94267
linear,656.306202626915,,,,0.7389744902831314,0.94259
linear,138.71777451937197,,,,1.9012580722891774,0.94256
linear,686.4955081211392,,,,0.9811500929250139,0.94247
poly,454.313905313754,-19.248992288001972,1.0785623408490919,1.4785076351758604,0.9427747547316598,0.94239
poly,84.46512863293094,19.875932283237184,1.4822886369329096,9.709188372996243,0.8234461371783625,0.94236
linear,553.7588913880885,,,,0.9317029337793744,0.94236
linear,116.75485682473808,,,,2.0,0.94233
linear,541.5418470442794,,,,0.45655184715451363,0.94218
linear,504.6570201295357,,,,0.5154924495197631,0.94215
linear,716.6404798124312,,,,1.0445948643381846,0.94207
linear,428.8897029221609,,,,0.04144250260673596,0.94207
poly,725.6712660189423,5.402877710885051,5.0,0.0,2.0,0.94204
poly,564.5775118623653,-13.40784492532649,1.320207657094023,1.8145160567695955,0.6870040487121037,0.94198
linear,474.1494878908603,,,,1.2660294422759018,0.94198
linear,458.8393821571706,,,,0.18120585232902925,0.94187
linear,529.3555700692592,,,,1.581989739935358,0.94184
linear,938.6699596921432,,,,0.8551161747631691,0.94184
linear,739.2242096898051,,,,1.125201794545437,0.94178
linear,759.58568635289,,,,0.7941495487520949,0.94175
poly,130.57498124016655,-15.587950217808624,1.4565964169813062,7.001529781461803,0.5885567306068337,0.94172
linear,402.11611594909857,,,,1.6604146763704468,0.94164
linear,517.1991303336955,,,,0.40809387074596953,0.94164
linear,599.8261699080462,,,,1.585636079368868,0.94161
linear,283.6591082403686,,,,1.8195745549290698,0.94158
linear,628.3350783410317,,,,0.4463042466708211,0.94158
linear,779.802722994727,,,,0.9885035006860862,0.94158
linear,902.2480535945668,,,,1.3453288655859266,0.94152
linear,671.2979592614975,,,,0.21422809471102064,0.94132
linear,860.1934149514076,,,,0.3307859195185677,0.94126
linear,999.9927687499061,,,,0.5224769672440424,0.94117
linear,798.2318209347194,,,,0.41576283823315674,0.94115
linear,576.6112040436951,,,,0.095866152309746,0.94106
linear,323.55106106592797,,,,1.9247965619871217,0.94089
poly,80.71595387122892,1.6304269540065697,1.1513007653449505,10.243951264105574,1.1996915568906583,0.9408
linear,614.0592419024962,,,,0.07826930136005131,0.94057
linear,415.6840976226642,,,,1.9021169453426439,0.94057
linear,565.1135567121993,,,,1.7253583058976372,0.94054
linear,362.2489141171824,,,,1.9591899188701585,0.94051
poly,196.21191522847425,19.448609613717906,1.4399384834924986,13.038050673635688,1.3996808866715653,0.94043
linear,817.4389016410626,,,,1.8375092883269835,0.94031
linear,953.0794013192317,,,,0.1425833691592249,0.94028
linear,879.7293362845581,,,,1.7977539529736575,0.94017
linear,839.1177666122464,,,,0.08948101550791691,0.94002
linear,868.3274610472948,,,,1.6314091193760654,0.93999
linear,489.58004190220123,,,,1.9283375201724573,0.93979
poly,628.9224810575435,5.120239350104568,1.0,15.0,1.026175561563132,0.93965
linear,588.1774598466843,,,,1.8655089964212765,0.93962
linear,442.8383657517766,,,,1.9753170568410512,0.93962
linear,642.5109917321946,,,,1.9554281571310081,0.93942
poly,545.0736826312684,19.9722860934706,4.267887430768845,4.274493156262274,1.01118335682146,0.93936
linear,865.0473866908836,,,,1.704838706621055,0.9393
poly,847.2290396577118,19.4042135396012,3.675391449035918,0.7113556223271694,0.23232966192355853,0.93927
poly,646.2758446891603,-10.428066296861967,1.080415270542534,14.177350925166003,0.44401364272239335,0.93919
linear,984.6066820607848,,,,1.8102048290370323,0.93881
linear,701.5414619295567,,,,1.8223443707772289,0.93875
poly,237.3736154679077,20.0,1.3803387911605876,15.0,0.0001,0.93873
poly,859.7028010693195,8.105568568535478,1.290204583977704,4.443470767627097,1.414477826364087,0.93861
linear,924.1462166505676,,,,1.9336226844516178,0.93852
poly,317.3773725537344,-3.8136570193193555,1.0,15.0,0.0001,0.93849
poly,969.9813753234973,9.323617650105106,1.2062121367049476,14.480109366158105,1.3573941337475297,0.93838
poly,51.01884688816881,20.0,1.0,15.0,2.0,0.93826
linear,968.4492067758713,,,,1.9966347435586043,0.93826
poly,478.5527230029001,11.502177655602168,4.588080751894939,0.3939105344794114,0.34766688319852884,0.93798
poly,473.1711667557665,-13.02980319102894,1.0,15.0,0.0001,0.93795
poly,470.24773847909745,1.4939475326805318,1.0,15.0,0.0001,0.93792
poly,611.6936043660776,11.004619618711562,3.9068280550976735,0.5715828508540544,0.06778673148267232,0.93737
poly,69.18650913343384,18.130592442480147,1.0,15.0,2.0,0.93737
poly,723.3576671750419,6.750423011603737,1.0,15.0,0.0001,0.93711
