mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
28.42921320597331,0.1987510852937891,1.3663132190704346,0.031320556118934285,,log2,1,400,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 400}",0.9409476050492824,0.9445741461305663,0.9508862948551664,0.9454693486783384,0.0041065337748153385,1
70.61229197184245,1.0554451633773227,3.3442076047261557,0.03082646722918954,,log2,1,1000,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 1000}",0.9418986685111533,0.9432771292693471,0.9508862948551664,0.9453540308785557,0.0039521721492236815,2
49.20777130126953,0.7336616588541486,2.332932472229004,0.019282770286311878,,log2,1,700,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",0.9412934463081446,0.9437094682230869,0.9508862948551664,0.9452964031287993,0.0040738562900320815,3
35.90813374519348,1.07875023121279,1.8289165496826172,0.10883870556193807,,log2,1,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",0.941206985993429,0.9431041936878513,0.9513186338089061,0.9452099378300621,0.004388391822403162,4
43.78452698389689,2.091433313898013,2.01708976427714,0.01354654246939461,,log2,1,600,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 600}",0.9414663669375757,0.9431041936878513,0.9507133592736705,0.9450946399663659,0.004028905898354082,5
21.608391682306927,0.537332471023943,1.0427850087483723,0.009285739843806451,,log2,1,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9399965415874114,0.9431041936878513,0.9511456982274102,0.9447488111675577,0.004697836270506122,6
14.08532158533732,0.18359873435840934,0.6910030841827393,0.01034023496226752,,log2,1,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 200}",0.939477779699118,0.9421530479896238,0.9511456982274102,0.9442588419720508,0.004990715173735786,7
7.197080294291179,0.1550923984101039,0.38138381640116376,0.0037474002832309423,,log2,1,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",0.9385267162372471,0.9412019022913964,0.9507998270644185,0.943509481864354,0.00526947214043024,8
3.7658214569091797,0.08560964747242598,0.19484766324361166,0.0073434980509485895,,log2,1,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 50}",0.9383537956078161,0.941980112408128,0.9492434068309554,0.9431924382822997,0.004527560687365814,9
22.17777109146118,0.37463151559710545,0.5113863945007324,0.007762515984055458,,0.003,1,300,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9340307798720388,0.9389537397319498,0.9461305663640294,0.9397050286560059,0.0049682011884582345,10
44.223806063334145,0.579096752115467,0.9656151930491129,0.015305899132387106,,0.003,1,600,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 600}",0.9338578592426077,0.9386078685689581,0.9464764375270212,0.9396473884461957,0.005203689758965709,11
29.806998014450073,0.5530810161884715,0.698378324508667,0.031631388137268485,,0.003,1,400,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 400}",0.9338578592426077,0.9385214007782101,0.9463899697362732,0.9395897432523638,0.005171683483993768,12
14.80600881576538,0.2367734951196398,0.34938804308573407,0.010970796728920835,,0.003,1,200,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 200}",0.9331661767248833,0.9395590142671855,0.9458711629917855,0.939532117994618,0.005186823791599368,13
51.36435095469157,0.5943024601087168,1.120915174484253,0.011466413872735998,,0.003,1,700,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 700}",0.933598478298461,0.9380025940337224,0.9464764375270212,0.9393591699530681,0.005344198233712647,14
7.553241888682048,0.09655046595290184,0.1956822077433268,0.01762922482584967,,0.003,1,100,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 100}",0.9344630814456165,0.9394725464764375,0.9441418071768266,0.9393591450329603,0.003952136794236264,15
73.69115074475606,0.7328578214053532,1.592631419499715,0.042054388416854306,,0.003,1,1000,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 1000}",0.9333390973543144,0.9377431906614786,0.9463035019455253,0.9391285966537728,0.005382592864891147,16
37.855934858322144,0.6908301103181703,0.82533860206604,0.02153736688498399,,0.003,1,500,"{'max_depth': None, 'max_features': 0.003, 'min_samples_leaf': 1, 'n_estimators': 500}",0.9332526370395988,0.9385214007782101,0.9455252918287937,0.9390997765488676,0.0050269541999604485,17
46.152284701665245,0.7740186200836213,0.7893052101135254,0.0023631448294852237,,sqrt,1,600,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 600}",0.9320421926335812,0.9373973194984868,0.9453523562472979,0.9382639561264554,0.005468297001180465,18
38.42589974403381,0.5147685991048644,0.6810643672943115,0.02739380009840674,,sqrt,1,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.9320421926335812,0.9374837872892348,0.945092952875054,0.9382063109326234,0.005352389873165276,19
